vessel_name;Регистровый номер;Номер ИМО;Бывшее название;Позывной;Порт приписки;Флаг;Символ класса;Переоборудование/модернизация существенного характера;Основной тип;Дата постройки;Страна постройки;Строительный номер;Дата значительной части;Значительная часть;Валовая вместимость;Чистая вместимость;Дедвейт;Водоизмещение;Длина наибольшая (теоретическая);Длина габаритная;Длина расчетная;Ширина габаритная;Высота борта;Осадка;Скорость;Тип силовой установки;Главные двигатели;Количество лопастей;Общая мощность генераторов;Главные котлы;Холодильная установка;Рабочая температура;Хладагенты;Радио-навигационное оборудование;Охлаждаемые грузовые помещения;Наливные танки;Количество палуб;Количество переборок;Число пассажиров коечные;Число пассажиров бескоечных;Спецперсонал;Грузовые люки (число и размер в свету);Стрелы;Краны;Запасы топлива;Типы топлива;Водяной балласт;Подогреватели;Характеристика снабжения;Категория якорных цепей;Калибр якорных цепей;Проект судна;Дата постройки (первое освидетельствование);Место постройки;Длина конструктивная;Ширина конструктивная;Высота надводного борта;Грузоподъемность;Количество поперечных переборок;Количество продольных переборок;Пассажировместимость;Экипаж;Орг. группа;Количество наливных танков;Суммарный объем наливных танков;Грузоподъемность первой стрелы;Грузоподъемность второй стрелы;Грузоподъемность третьей стрелы;Материал корпуса;Материал надстройки;Марка главной силовой установки;ГЭД, всего;ГЭД, кВт всех;ГЭС, кВт всех;Завод постройки;Город постройки;Завод достройки;Город достройки;Заложено;Спущено на воду;Построено;Владелец;Оператор;Регистрация;Бортовой номер;MMSI;Текущее состояние;Примечания;Количество движителей;Тип движителей;Количество ГЭД;Общая мощность ГЭД;Количество грузовых трюмов;Кубатура грузовых трюмов;Количество контейнеров;Тип контейнеров;Источник
;143706;;;;;;;;;;;;;;459.0;0.0;182.0;950.0;;48.0;;12.0;4.0;;;Дизельный;;;626.0;;;;;;;;;;;;;;;;;;;;;;;16;28.04.1958;г.Ленинград;44.0;11.0;1.0;0.0;7;0;0;11;0.0;0;0.0;0.0;0.0;0.0;Ст3с ГОСТ 380-50;Ст3с ГОСТ 5521-50;5Д-50М (6ЧН 31,8/33);2.0;960.0;145.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;143730;;;;;;;;;;;;;;28.0;0.0;3.0;20.0;;19.0;;3.0;1.0;;;Дизельный;;;66.0;;;;;;;;;;;;;;;;;;;;;;;Т-101;07.06.1960;Бобруйский СРЗ;19.0;3.0;0.0;0.0;5;0;0;6;0.0;0;0.0;0.0;0.0;0.0;ВСт3сп;ВСт3сп;К-161-2;0.0;0.0;1.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;143766;;;;;;;;;;;;;;55.0;0.0;6.0;50.0;;24.0;;5.0;1.0;;;Дизельный;;;110.0;;;;;;;;;;;;;;;;;;;;;;;Т-89;01.07.1958;Пинская РЭБ, Пинск;22.0;4.0;0.0;0.0;6;0;0;7;0.0;0;0.0;0.0;0.0;0.0;сталь Ст3сп4 ГОСТ 5521;сталь;ЯМЗ-238С;0.0;0.0;32.4;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;143771;;;;;;;;;;;;;;40.0;0.0;31.0;66.0;;24.0;;5.0;1.0;;;Дизельный;;;66.0;;;;;;;;;;;;;;;;;;;;;;;Т-89;01.07.1958;Пинск, Пинская РЭБ;22.0;4.0;0.0;30.0;7;0;0;3;0.0;0;0.0;0.0;0.0;0.0;Сталь;Сталь;6ЧСП12/14 (К 161-2);0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;143812;;;;;;;;;;;;;;48.0;0.0;5.0;32.0;;21.0;;3.0;1.0;;;Дизельный;;;110.0;;;;;;;;;;;;;;;;;;;;;;;292;20.10.1959;Гомель;20.0;3.0;0.0;0.0;5;0;5;1;0.0;0;0.0;0.0;0.0;0.0;Ст3;Сталь;3Д6;0.0;0.0;1.2;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;143878;;;;;;;;;;;;;;43.0;0.0;4.0;32.0;;21.0;;3.0;1.0;;;Дизельный;;;110.0;;;;;;;;;;;;;;;;;;;;;;;292;01.07.1960;РЭБ флота, Гомель;20.0;3.0;0.0;0.0;5;0;0;6;5.0;0;0.0;0.0;0.0;0.0;Ст3;Ст3;3Д6;0.0;0.0;1.2;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;143887;;;;;;;;;;;;;;28.0;0.0;4.0;20.0;;19.0;;3.0;1.0;;;Дизельный;;;66.0;;;;;;;;;;;;;;;;;;;;;;;Т-101А;28.02.1961;Витебск;19.0;3.0;0.0;3.0;5;0;0;4;9.0;0;0.0;0.0;0.0;0.0;Вст3сп ГОСТ 5521-50;Вст3 ГОСТ 5521-50;6ЧСП13/14 (Д-467-10);0.0;0.0;1.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;143894;;;;;;;;;;;;;;22.0;0.0;5.0;20.0;;19.0;;3.0;1.0;;;Дизельный;;;75.0;;;;;;;;;;;;;;;;;;;;;;;Т-101Б;01.07.1961;Бобруйск;19.0;3.0;0.0;5.0;5;0;0;4;0.0;0;0.0;0.0;0.0;0.0;ВСт3сп;;6Ч 13/14 (Д467-20И);0.0;0.0;1.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;143912;;;;;;;;;;;;;;43.0;0.0;5.0;411.0;;21.0;;3.0;1.0;;;Дизельный;;;110.0;;;;;;;;;;;;;;;;;;;;;;;292;01.07.1961;Пинск, Пинский ССРЗ;20.0;3.0;0.0;30.0;5;2;0;7;0.0;0;0.0;0.0;0.0;0.0;Ст.3;;3Д6;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;144154;;;;;;;;;;;;;;279.0;0.0;350.0;478.0;;49.0;;10.0;1.0;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;187У;06.06.1982;Нижневартовск;49.0;10.0;0.0;350.0;6;1;0;0;0.0;0;0.0;0.0;0.0;0.0;Вст3сп4 ГОСТ 5521-76;;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;144155;;;;;;;;;;;;;;279.0;0.0;336.0;470.0;;49.0;;10.0;1.0;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;187У;09.06.1982;Нижневартовск;49.0;10.0;0.0;336.0;6;1;20;0;0.0;0;0.0;0.0;0.0;0.0;Вст3сп4;;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;144156;;;;;;;;;;;;;;279.0;0.0;336.0;470.0;;49.0;;10.0;1.0;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;187У;01.01.1981;Петриковский ССРЗ,Петриков;49.0;10.0;0.0;336.0;6;1;20;0;0.0;0;0.0;0.0;0.0;0.0;Вст3сп;;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;144159;;;;;;;;;;;;;;286.0;0.0;334.0;468.0;;57.0;;10.0;1.0;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;187Г;14.06.1985;Нижневартовск;49.0;10.0;0.0;334.0;6;1;25;0;0.0;0;0.0;0.0;0.0;0.0;Вст3сп2;Сталь РСД;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;144160;;;;;;;;;;;;;;295.0;0.0;350.0;480.0;;57.0;;10.0;1.0;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;187Г;19.06.1985;Петриковский ССРЗ,Петриков;49.0;10.0;0.0;350.0;6;3;12;0;0.0;0;0.0;0.0;0.0;0.0;РСВ ГОСТ Р 52927-2008;РСВ ГОСТ Р 52927-2008;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;144161;;;;;;;;;;;;;;273.0;0.0;65.0;286.0;;49.0;;10.0;1.0;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;187Г;28.08.1985;Нижневартовск;46.0;10.0;1.0;65.0;6;1;0;0;0.0;0;0.0;0.0;0.0;0.0;Вст3сп2 ГОСТ 5521-76;;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;144162;;;;;;;;;;;;;;35.0;0.0;8.0;34.0;;21.0;;3.0;1.0;;;Дизельный;;;110.0;;;;;;;;;;;;;;;;;;;;;;;292А;12.10.1961;г. Пинск;20.0;3.0;0.0;0.0;5;2;12;2;0.0;0;0.0;0.0;0.0;0.0;ВСт3сп2 и сп4;Сталь, дерево;6ЧСП 15/18;0.0;0.0;0.8;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;144201;;;;;;;;;;;;;;549.0;0.0;1030.0;1273.0;;73.0;;10.0;2.0;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;775;30.12.1991;Речицкий ССРЗ, Белоруссия;72.0;10.0;0.0;1030.0;10;1;0;0;0.0;0;0.0;0.0;0.0;0.0;ВСт3сп4;;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;144317;;;;;;;;;;;;;;2017.0;0.0;172.0;1360.0;;67.0;;13.0;3.0;;;Дизельный;;;110.0;;;;;;;;;;;;;;;;;;;;;;;889;30.03.1960;Болгария;62.0;13.0;1.0;0.0;7;0;0;0;0.0;0;0.0;0.0;0.0;0.0;Железобетон;Сталь;3Д6С;0.0;0.0;212.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;14432;;;;;;;;;;;;;;26.0;0.0;4.0;28.0;;17.0;;3.0;2.0;;;Дизельный;;;110.0;;;;;;;;;;;;;;;;;;;;;;;1439;08.01.1969;Улан-Удэ п/я А-1231;16.0;3.0;0.0;0.0;4;0;0;6;0.0;0;0.0;0.0;0.0;0.0;Сталь4С;Сталь;ЯМЗ-238-М2;0.0;0.0;11.7;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;144321;;;;;;;;;;;;;;2797.0;0.0;144.0;1332.0;;67.0;;13.0;3.0;;;Дизельный;;;110.2941;;;;;;;;;;;;;;;;;;;;;;;889;10.08.1960;Болгария;62.0;13.0;1.0;0.0;7;0;0;0;0.0;0;0.0;0.0;0.0;0.0;Железобетон;Сталь;3Д6;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;144328;;;;;;;;;;;;;;2797.0;0.0;201.0;1491.0;;67.0;;13.0;3.0;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;889;22.12.1960;Болгария;62.0;13.0;1.0;0.0;7;0;0;11;0.0;0;0.0;0.0;25.0;0.0;Железобет.;Сталь;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;144329;;;;;;;;;;;;;;2798.0;0.0;144.0;1332.0;;67.0;;13.0;3.0;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;889;22.12.1960;Болгария;62.0;13.0;1.0;2500.0;7;0;0;20;0.0;0;0.0;0.0;25.0;0.0;Железобетон;Сталь;;0.0;0.0;100.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;144343;;;;;;;;;;;;;;2027.0;0.0;0.0;1332.0;;67.0;;13.0;3.0;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;889;30.06.1964;Болгария;62.0;13.0;1.0;0.0;7;0;0;4;0.0;0;0.0;0.0;0.0;0.0;Железобет.;Сталь;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;144366;;;;;;;;;;;;;;1004.0;0.0;0.0;871.0;;62.0;;13.0;3.0;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;889/РЕГК.06029/889;01.07.1968;Болгария;62.0;13.0;2.0;0.0;7;0;0;0;0.0;0;0.0;0.0;25.0;0.0;Железобетон;Дерев. навес;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;144374;;;;;;;;;;;;;;2797.0;0.0;201.0;1491.0;;67.0;;13.0;3.0;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;889;27.03.1969;Болгария;62.0;13.0;1.0;0.0;7;0;0;20;0.0;0;0.0;0.0;25.0;0.0;Железобет.;Сталь;;0.0;0.0;200.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;144380;;;;;;;;;;;;;;2798.0;0.0;0.0;1332.0;;67.0;;13.0;3.0;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;889;01.07.1970;Болгария;62.0;13.0;1.0;0.0;7;0;0;3;0.0;0;0.0;0.0;25.0;0.0;Железобет.;Сталь;;0.0;0.0;212.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;144396;;;;;;;;;;;;;;2797.0;0.0;0.0;1332.0;;67.0;;13.0;3.0;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;889;29.06.1973;Болгария;62.0;13.0;1.0;0.0;7;0;0;2;0.0;0;0.0;0.0;0.0;0.0;Железобет.;Сталь;;0.0;0.0;100.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;14440;;;;;;;;;;;;;;26.0;0.0;4.0;40.0;;17.0;;3.0;2.0;;;Дизельный;;;110.0;;;;;;;;;;;;;;;;;;;;;;;КЖ-339;08.09.1969;Улан-Удэ п/я А-1231;16.0;3.0;0.0;0.0;4;0;0;3;0.0;0;0.0;0.0;0.0;0.0;Сталь3;Сталь3;ЯМЗ-238М2;0.0;0.0;8.5;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;144400;;;;;;;;;;;;;;2797.0;0.0;0.0;1332.0;;67.0;;13.0;3.0;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;889;01.07.1974;Бургас, Болгария;62.0;13.0;1.0;0.0;7;0;0;100;0.0;0;0.0;0.0;25.0;0.0;Железобет.;Сталь;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;144417;;;;;;;;;;;;;;2797.0;0.0;207.0;1461.0;;67.0;;13.0;3.0;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;889А;01.07.1979;Болгаpия;62.0;13.0;1.0;30.0;8;0;0;4;0.0;0;0.0;30.0;0.0;0.0;железобетон;сталь;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;144419;;;;;;;;;;;;;;2280.0;0.0;159.0;1571.0;;67.0;;13.0;3.0;;;Дизельный;;;0.0;;;;;;;;;;;;;;;;;;;;;;;889А;01.07.1977;г.Бургас, Болгария;62.0;13.0;1.0;0.0;8;0;0;0;0.0;0;0.0;0.0;0.0;0.0;железобет.;Сталь;6 ЧН 18/22;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;144427;;;;;;;;;;;;;;2797.0;0.0;152.0;1620.0;;67.0;;13.0;3.0;;;Дизельный;;;0.0;;;;;;;;;;;;;;;;;;;;;;;889А;01.07.1978;Бургас, НРБ;62.0;13.0;1.0;0.0;8;0;0;0;0.0;0;0.0;0.0;0.0;0.0;железобетон;ВСт3сп;4Ч10/13;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;144430;;;;;;;;;;;;;;2798.0;0.0;753.0;1461.0;;67.0;;13.0;3.0;;;Дизельный;;;0.0;;;;;;;;;;;;;;;;;;;;;;;889А;30.11.1978;Болгария;62.0;13.0;1.0;0.0;8;0;0;7;0.0;0;0.0;0.0;0.0;0.0;Железобетон;Сталь Вст3сп;6ЧН 18/22;0.0;0.0;350.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;144431;;;;;;;;;;;;;;2456.0;0.0;102.0;1461.0;;67.0;;13.0;3.0;;;Дизельный;;;165.0;;;;;;;;;;;;;;;;;;;;;;;889А;01.07.1979;г.Бургас, Болгария;62.0;13.0;1.0;0.0;8;0;0;20;0.0;0;0.0;0.0;0.0;0.0;Железобет.;сталь;6ЧН18/22;0.0;0.0;325.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;144432;;;;;;;;;;;;;;2479.0;0.0;0.0;1829.0;;82.0;;14.0;3.0;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;889;01.07.1969;Болгария;62.0;13.0;1.0;0.0;7;4;0;4;0.0;0;0.0;0.0;0.0;0.0;железобетон;сталь;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;144447;;;;;;;;;;;;;;2798.0;0.0;189.0;1461.0;;67.0;;13.0;3.0;;;Дизельный;;;165.4412;;;;;;;;;;;;;;;;;;;;;;;889А;01.07.1980;Болгария;62.0;13.0;1.0;0.0;8;0;0;10;0.0;0;0.0;0.0;0.0;0.0;Железобетон (М-300);ВСт3сп;6ЧН 18/22;0.0;0.0;275.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;144448;;;;;;;;;;;;;;2798.0;0.0;186.0;1461.0;;67.0;;13.0;3.0;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;889А;01.07.1980;Болгария;62.0;13.0;1.0;0.0;8;0;0;16;0.0;0;0.0;0.0;0.0;0.0;Железобет.;ВСт3сп;;0.0;0.0;325.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;144449;;;;;;;;;;;;;;2797.0;0.0;150.0;1356.0;;67.0;;13.0;3.0;;;Дизельный;;;165.0;;;;;;;;;;;;;;;;;;;;;;;889А;01.01.1981;Болгария;62.0;13.0;1.0;0.0;8;0;0;2;0.0;0;0.0;0.0;0.0;0.0;железобетон-300, ВМСт3сп;СтальВСт3сп;6ЧСПН 18/22;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;144452;;;;;;;;;;;;;;4010.0;0.0;63.0;1452.0;;62.0;;15.0;3.0;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;889;27.12.1981;Болгария;62.0;13.0;1.0;0.0;7;0;314;30;0.0;0;0.0;0.0;0.0;0.0;железобет.;Сталь;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;144454;;;;;;;;;;;;;;2797.0;0.0;189.0;1461.0;;67.0;;13.0;3.0;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;889А;01.07.1981;Болгария;62.0;13.0;1.0;0.0;8;0;0;4;0.0;0;0.0;0.0;0.0;0.0;железобет.;сталь;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;144458;;;;;;;;;;;;;;2798.0;0.0;152.0;1620.0;;67.0;;13.0;3.0;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;889А;01.07.1982;Бургас, Болгария;62.0;13.0;1.0;0.0;8;0;0;0;0.0;0;0.0;0.0;0.0;0.0;железобет.;ВСт3сп;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;144460;;;;;;;;;;;;;;2797.0;0.0;102.0;1354.0;;67.0;;13.0;3.0;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;889А;31.05.1982;Болгария;62.0;13.0;1.0;0.0;8;0;0;5;0.0;0;0.0;0.0;0.0;0.0;Железобетон;ВСт3сп;;0.0;0.0;325.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;144473;;;;;;;;;;;;;;2797.0;0.0;180.0;1461.0;;67.0;;13.0;3.0;;;Дизельный;;;165.0;;;;;;;;;;;;;;;;;;;;;;;889А;01.01.1984;БУРГАС;62.0;13.0;1.0;0.0;8;0;0;3;0.0;0;0.0;0.0;0.0;0.0;Железобетон;ВСт3сп;;0.0;0.0;300.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;144484;;;;;;;;;;;;;;2797.0;0.0;115.0;1461.0;;67.0;;13.0;3.0;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;889А;01.07.1985;Болгария;62.0;13.0;1.0;0.0;8;0;0;0;0.0;0;0.0;0.0;0.0;0.0;железобет.;Сталь;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;144489;;;;;;;;;;;;;;2797.0;0.0;141.0;1461.0;;67.0;;13.0;3.0;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;889А;01.01.1986;Болгария;62.0;13.0;1.0;0.0;8;0;0;2;17.0;0;0.0;0.0;0.0;0.0;бетон М-300;Сталь ВСт3сп;;0.0;0.0;326.5;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;144496;;;;;;;;;;;;;;2797.0;0.0;141.0;273.0;;68.0;;13.0;3.0;;;Дизельный;;;165.0;;;;;;;;;;;;;;;;;;;;;;;889А;30.12.1986;Болгария;67.0;13.0;1.0;141.0;8;0;0;30;0.0;0;0.0;0.0;0.0;0.0;Железобетон;ВСт3сп;6ЧН 18/22;0.0;0.0;300.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;144499;;;;;;;;;;;;;;2797.0;0.0;141.0;1461.0;;67.0;;13.0;3.0;;;Дизельный;;;0.0;;;;;;;;;;;;;;;;;;;;;;;889А;29.06.1987;Болгария;62.0;13.0;1.0;0.0;8;0;0;6;0.0;0;25.0;0.0;0.0;0.0;железобет.;ВСт3сп;6ЧН18/22;0.0;0.0;345.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;144500;;;;;;;;;;;;;;2797.0;0.0;0.0;1461.0;;62.0;;13.0;3.0;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;889А;01.07.1987;г. Бургас, Болгария;62.0;13.0;1.0;0.0;7;0;0;100;0.0;0;0.0;0.0;25.0;0.0;Железобет.;Сталь;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;144512;;;;;;;;;;;;;;1921.0;0.0;67.0;1318.0;;67.0;;13.0;3.0;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;889А;01.07.1988;Бургас;62.0;13.0;2.0;0.0;7;0;500;22;0.0;0;0.0;0.0;0.0;0.0;железобетон;ВСт3сп;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;144518;;;;;;;;;;;;;;2795.0;0.0;0.0;1324.0;;67.0;;13.0;3.0;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;889А;01.07.1989;г. Бургас, Болгария;62.0;13.0;1.0;0.0;8;0;0;4;0.0;0;0.0;0.0;0.0;0.0;железобет.;Сталь;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;145001;;;;;;;;;;;;;;2444.0;0.0;229.0;1522.0;;95.0;;14.0;4.0;;;Дизельный;;;426.0;;;;;;;;;;;;;;;;;;;;;;;588;11.01.1961;Германия;90.0;12.0;1.0;0.0;8;2;229;60;0.0;0;0.0;0.0;0.0;0.0;Ст./гидроналий;Сталь 4S,4L по DSRK;6ЧР 32/48 (6NVD-48-2U);0.0;0.0;300.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;145002;;;;;;;;;;;;;;3072.0;0.0;265.0;1548.0;;95.0;;14.0;4.0;;;Дизельный;;;368.0;;;;;;;;;;;;;;;;;;;;;;;588;15.05.1961;г.Висмар, ГДР;90.0;11.0;1.0;0.0;8;2;245;60;0.0;0;0.0;0.0;0.0;0.0;Сталь MSt 4S DSRK;Сталь MSt 4S DSRK;6NVD-48-2U (2шт.), 6 NVD-48 (ср);0.0;0.0;352.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;145004;;;;;;;;;;;;;;2464.0;0.0;270.0;1548.0;;95.0;;14.0;4.0;;;Дизельный;;;426.0;;;;;;;;;;;;;;;;;;;;;;;588;01.07.1961;Германия;90.0;12.0;1.0;0.0;9;0;212;64;0.0;0;0.0;0.0;0.0;0.0;Сталь;Сталь;6NVD-48-2U;0.0;0.0;430.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;145006;;;;;;;;;;;;;;2650.0;0.0;250.0;1687.0;;96.0;;14.0;4.0;;;Дизельный;;;294.0;;;;;;;;;;;;;;;;;;;;;;;588МА;10.10.1961;Германия;90.0;12.0;1.0;0.0;9;2;171;72;0.0;0;0.0;0.0;0.0;0.0;Алюм. сплав;Сталь;6ЧРН 32/48 (6NVD-48);0.0;0.0;504.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;145008;;;;;;;;;;;;;;2464.0;1751.0;337.0;1548.0;;96.0;;14.0;4.0;;;Дизельный;;;294.0;;;;;;;;;;;;;;;;;;;;;;;588-III;20.11.1961;Германия;90.0;12.0;1.0;0.0;9;2;238;60;0.0;0;0.0;0.0;0.0;0.0;МСт4с;Ст.3/алюм. сплав;6ЧРН 32/48 (6NVD-48U);0.0;0.0;300.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;145009;;;;;;;;;;;;;;2825.0;0.0;241.0;1657.0;;95.0;;14.0;4.0;;;Дизельный;;;294.0;;;;;;;;;;;;;;;;;;;;;;;588МА;27.12.1961;Германия;90.0;12.0;1.0;0.0;9;0;172;69;0.0;0;0.0;0.0;0.0;0.0;РСВ 5521-60, Д16-АТ;РСВ ГОСТ 5521-60;6ЧР 32/48 (6NVD-48);0.0;0.0;450.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;145010;;;;;;;;;;;;;;420.0;365.0;691.0;936.0;;66.0;;8.0;2.0;;;Дизельный;;;0.0;;;;;;;;;;;;;;;;;;;;;;;27-410;01.07.1963;Германия;66.0;8.0;0.0;680.0;8;0;0;7;0.0;0;0.0;0.0;0.0;0.0;Сталь;Сталь;8NVD-36A-IU;0.0;0.0;76.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;145013;;;;;;;;;;;;;;420.0;365.0;691.0;936.0;;67.0;;8.0;2.0;;;Дизельный;;;308.0;;;;;;;;;;;;;;;;;;;;;;;27-410;02.05.1963;Германия;66.0;8.0;0.0;665.0;8;0;0;7;0.0;0;0.0;0.0;0.0;0.0;Сталь;Сталь;8NVD-36A-IU;0.0;0.0;76.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;145015;;;;;;;;;;;;;;404.0;365.0;691.0;943.0;;66.0;;8.0;2.0;;;Дизельный;;;0.0;;;;;;;;;;;;;;;;;;;;;;;27-410;01.07.1963;Германия;66.0;8.0;0.0;652.0;8;0;0;7;0.0;0;0.0;0.0;0.0;0.0;Сталь;Сталь;8NVD-36-IU;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;145016;;;;;;;;;;;;;;420.0;0.0;691.0;943.0;;66.0;;8.0;2.0;;;Дизельный;;;0.0;;;;;;;;;;;;;;;;;;;;;;;27-410;01.07.1963;Германия;66.0;8.0;0.0;665.0;8;0;0;7;0.0;0;18.0;0.0;0.0;0.0;Сталь;Сталь;8190ZLCZA2-2R;0.0;0.0;76.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;145017;;;;;;;;;;;;;;404.0;365.0;691.0;943.0;;66.0;;8.0;2.0;;;Дизельный;;;0.0;;;;;;;;;;;;;;;;;;;;;;;27-410;13.06.1963;Германия;66.0;8.0;0.0;680.0;8;0;0;7;0.0;0;0.0;0.0;0.0;0.0;Сталь;Сталь;8NVD-36A-IU;0.0;0.0;76.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;145020;;;;;;;;;;;;;;399.0;0.0;691.0;943.0;;67.0;;8.0;2.0;;;Дизельный;;;425.0;;;;;;;;;;;;;;;;;;;;;;;27410;19.07.1963;Германия;66.0;8.0;0.0;600.0;7;0;0;5;0.0;0;0.0;0.0;0.0;0.0;Сталь Мст.4;Сталь Мст.4;8NVD36А-IU (8ЧРН 24/36);0.0;0.0;45.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
